,solver,penalty,C value,f1 score,learning time
0,sag,l2,1e-05,0.7421078846501192,0 days 00:00:11.629863000
1,sag,l2,0.0001,0.8516683208699322,0 days 00:00:36.573633000
2,sag,l2,0.001,0.8915482477796273,0 days 00:00:40.239059000
3,sag,l2,0.01,0.9031448266721016,0 days 00:00:39.725279000
4,sag,l2,0.1,0.9032264399592413,0 days 00:00:40.798350000
5,sag,l2,1.0,0.9030172405852888,0 days 00:00:37.602404000
6,sag,l2,10.0,0.902978717807628,0 days 00:00:39.366575000
7,sag,l2,100.0,0.9029613604483316,0 days 00:00:39.436325000
8,sag,l2,1000.0,0.9029613604483316,0 days 00:00:39.589051000
9,sag,l2,10000.0,0.9029613604483316,0 days 00:00:41.099263000
10,saga,l2,1e-05,0.7450122607150981,0 days 00:00:36.638326000
11,saga,l2,0.0001,0.8497569253443775,0 days 00:01:08.821854000
12,saga,l2,0.001,0.8902129337856769,0 days 00:01:06.289596000
13,saga,l2,0.01,0.901651371482016,0 days 00:01:06.229599000
14,saga,l2,0.1,0.9023136057125607,0 days 00:01:09.649607000
15,saga,l2,1.0,0.9023976753906453,0 days 00:01:03.891532000
16,saga,l2,10.0,0.9023630786264516,0 days 00:01:08.516133000
17,saga,l2,100.0,0.9023798928569731,0 days 00:01:04.827533000
18,saga,l2,1000.0,0.9023798928569731,0 days 00:01:06.275524000
19,saga,l2,10000.0,0.9023798928569731,0 days 00:01:07.263449000
