,solver,penalty,C value,f1 score,learning time
0,sag,l2,1e-05,0.7651288535703722,0 days 00:00:03.890246000
1,sag,l2,0.0001,0.8598472039198818,0 days 00:00:08.300043000
2,sag,l2,0.001,0.8954194790084029,0 days 00:00:31.115744000
3,sag,l2,0.01,0.9060516507796688,0 days 00:00:37.085825000
4,sag,l2,0.1,0.8964521630040775,0 days 00:00:36.016303000
5,sag,l2,1.0,0.8780555679648531,0 days 00:00:36.103590000
6,sag,l2,10.0,0.8737965717735863,0 days 00:00:37.747913000
7,sag,l2,100.0,0.8732637953454437,0 days 00:00:37.808688000
8,sag,l2,1000.0,0.8731314972344186,0 days 00:00:36.726736000
9,sag,l2,10000.0,0.8731496523194846,0 days 00:00:36.437000000
